Continent_Of_Death	Country_Of_Death	Location_Of_Death	Dead_Host_Order	BirdTree_Dead_Host_Species	Dead_Host_Native_To	Host_Native_Or_Not	Host_Captive_Or_Wild	Host_Age	Naive_To_Parasite	Parasite_Genus	Parasite_Cytb_Lineage	SESMPD	Parasite_Distribution	Authors_State_Caused_Or_Associated_W_Death	Pathology_Or_Stated_Cause_Of_Death	Paper_Title	Year	Citation	Notes
North America	USA	"San Diego, California"	Passeriformes	Tangara_schrankii	South America	Not	Captive	Adult	Not_Naive	Haemoproteus	TASCH01	-2.93	South America	Associated_with_death	"Pg. 1027: ""All 7 birds had prominent malarial pigment deposits in the liver and spleen and, less often, in the lungs."", P.g. 1026: Hepatic hematopoiesis, poory body condition, parasitemic. Pg. 1029: ""In these cases, chronic infection with malarial parasites may have directly or indirectly contributed to death."""	Molecular Characterization of Malarial Parasites in Captive Passerine Birds	2003	Schrenzel et al.	Atoxoplasma and Sarcocystis also noted
North America	USA	"San Diego, California"	Passeriformes	Pyrrhula_erythaca	Asia	Not	Captive	Adult	Not_Naive	Haemoproteus	PYERY01	-0.05	"Africa,Asia,Europe,North America,South America"	Associated_with_death	"Pg. 1027: ""All 7 birds had prominent malarial pigment deposits in the liver and spleen and, less often, in the lungs."", P.g. 1026: Bleeding episode, parasitemic.  Pg. 1029: ""In these cases, chronic infection with malarial parasites may have directly or indirectly contributed to death."""	Molecular Characterization of Malarial Parasites in Captive Passerine Birds	2003	Schrenzel et al.	"Atoxoplasma, Poxvirus/Cryptosporidium/Candida also noted"
North America	USA	"San Diego, California"	Passeriformes	Niltava_davidi	Asia	Not	Captive	Adult	Unknown	Plasmodium	NIDAV01	NA	Unknown_Single_Record	Associated_with_death	"Pg. 1027: ""All 7 birds had prominent malarial pigment deposits in the liver and spleen and, less often, in the lungs."", P.g. 1026: Bleeding episode.  Pg. 1029: ""In these cases, chronic infection with malarial parasites may have directly or indirectly contributed to death."""	Molecular Characterization of Malarial Parasites in Captive Passerine Birds	2003	Schrenzel et al.	Coccidia and osteosarcoma also noted
North America	USA	"San Diego, California"	Passeriformes	Passer_domesticus	Eurasia	Not	Captive	Adult	Unknown	Plasmodium	PADOM10	NA	Unknown_Single_Record	Associated_with_death	"Pg. 1027: ""All 7 birds had prominent malarial pigment deposits in the liver and spleen and, less often, in the lungs."", P.g. 1026: Hepatic hematopoiesis, poory body condition.  Pg. 1029: ""In these cases, chronic infection with malarial parasites may have directly or indirectly contributed to death."""	Molecular Characterization of Malarial Parasites in Captive Passerine Birds	2003	Schrenzel et al.	Atoxoplasma and Mycobacterium/Aspergillus also noted
North America	USA	"San Diego, California"	Passeriformes	Garrulax_sannio	Asia	Not	Captive	Juvenile	Naive	Plasmodium	GASAN01	-0.13	North America	Associated_with_death	"Pg. 1027: ""All 7 birds had prominent malarial pigment deposits in the liver and spleen and, less often, in the lungs."", P.g. 1026: Systemic inflammation.  Pg. 1029: ""In these cases, chronic infection with malarial parasites may have directly or indirectly contributed to death."""	Molecular Characterization of Malarial Parasites in Captive Passerine Birds	2003	Schrenzel et al.	Atoxoplasma also noted
North America	USA	"San Diego, California"	Passeriformes	Coccycolius_iris	Africa	Not	Captive	Adult	Naive	Plasmodium	LAIRI01	0.5	"North America,South America"	Associated_with_death	"Pg. 1027: ""All 7 birds had prominent malarial pigment deposits in the liver and spleen and, less often, in the lungs.""  Pg. 1029: ""In these cases, chronic infection with malarial parasites may have directly or indirectly contributed to death."""	Molecular Characterization of Malarial Parasites in Captive Passerine Birds	2003	Schrenzel et al.	Atoxoplasma and cold exposure also noted.
North America	USA	"San Diego, California"	Passeriformes	Cosmopsarus_regius	Africa	Not	Captive	Adult	Unknown	Plasmodium	COREG01	NA	Unknown_Single_Record	Associated_with_death	"Pg. 1027: ""All 7 birds had prominent malarial pigment deposits in the liver and spleen and, less often, in the lungs."", P.g. 1026: Anemia, poory body condition, parasitemic.  Pg. 1029: ""In these cases, chronic infection with malarial parasites may have directly or indirectly contributed to death."""	Molecular Characterization of Malarial Parasites in Captive Passerine Birds	2003	Schrenzel et al.	Atoxoplasma and Candida/Capillaria also noted. Alternative host name: Lamprotornis regius
North America	USA	"Fort Worth, Texas"	Passeriformes	Cyanocorax_yncas	"Central America, South America"	Not	Captive	Juvenile	Naive	Plasmodium	SEIAUR01	-1.03	North America	Caused_death	"Pg. 313: ""Over a 3-yr span in one zoological facility, six fatalities occurred in three avian species from infections with either Plasmodium or Haemoproteus spp."" Pg. 310: ""In the juvenile green jay, numerous large sporozoan cysts were distributed throughout the hepatic parenchyma. Some cysts were associ-ated with granulomatous inflammation and hemor rhage. There was moderate-to-severe renal tubular necrosis, urate deposition, and discrete urate tophi. Coelomic surfaces contained urate deposits."""	Fatal hemoprotozoal infections in multipleﾊavianﾊspecies in a zoological park	2007	Ferrell et al.	Case 1
North America	USA	"Fort Worth, Texas"	Passeriformes	Cyanocorax_yncas	"Central America, South America"	Not	Captive	Adult	Not_Naive	Plasmodium	WW3	-0.56	"Africa,Europe,North America,South America"	Caused_death	"Pg. 313: ""Over a 3-yr span in one zoological facility, six fatalities occurred in three avian species from infections with either Plasmodium or Haemoproteus spp."" Pg. 311: ""Findings in this adult female green jay included a marked splenic infiltration with mixed inflammatory cells, including macrophages and plasma cells. Many of the lymphoid cells were ne-crotic, and there were accumulations of granular, cellular, and nuclear debris."""	Fatal hemoprotozoal infections in multipleﾊavianﾊspecies in a zoological park	2007	Ferrell et al.	Case 5
North America	USA	"Fort Worth, Texas"	Passeriformes	Psarocolius_montezuma	Central America	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 313: ""Over a 3-yr span in one zoological facility, six fatalities occurred in three avian species from infections with either Plasmodium or Haemoproteus spp."" Pg. 311: ""Both Montezuma oropendolas had numerous protozoan cysts dispersed throughout their respective hepatic parenchyma. Thin walls encapsulated the cysts, and the interior of the cysts were lined with palisading layers of zoites. Some of the cysts had ruptured, and they were associated with hemorrhage and necrosis in the adjacent hepatic parenchyma."""	Fatal hemoprotozoal infections in multipleﾊavianﾊspecies in a zoological park	2007	Ferrell et al.	Case 2
North America	USA	"Fort Worth, Texas"	Passeriformes	Psarocolius_montezuma	Central America	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 313: ""Over a 3-yr span in one zoological facility, six fatalities occurred in three avian species from infections with either Plasmodium or Haemoproteus spp."" Pg. 311: ""Both Montezuma oropendolas had numerous protozoan cysts dispersed throughout their respective hepatic parenchyma. Thin walls encapsulated the cysts, and the interior of the cysts were lined with palisading layers of zoites. Some of the cysts had ruptured, and they were associated with hemorrhage and necrosis in the adjacent hepatic parenchyma."""	Fatal hemoprotozoal infections in multipleﾊavianﾊspecies in a zoological park	2007	Ferrell et al.	Case 3
North America	USA	"Fort Worth, Texas"	Phoenicopteriformes	Phoeniconaias_minor	Africa	Not	Captive	Juvenile	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 313: ""Over a 3-yr span in one zoological facility, six fatalities occurred in three avian species from infections with either Plasmodium or Haemoproteus spp."" Pg. 311: ""The liver of this juvenile lesser flamingo was filled with numerous protozoan cysts distributed throughout the parenchyma. Areas of cyst rup- ture were associated with severe hepatic necrosis and hemorrhage."""	Fatal hemoprotozoal infections in multipleﾊavianﾊspecies in a zoological park	2007	Ferrell et al.	Case 4. Alternative host name: Phoenicoparrus minor
North America	USA	"Fort Worth, Texas"	Phoenicopteriformes	Phoeniconaias_minor	Africa	Not	Captive	Juvenile	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 313: ""Over a 3-yr span in one zoological facility, six fatalities occurred in three avian species from infections with either Plasmodium or Haemoproteus spp."" Pg. 311: ""In this final case, the liver had numerous foci of protozoal cyst development (Fig. 2). Rupture of the cysts was associated with parenchymal hemorrhage and rupture of the hepatic capsule...The diagnosis of hepatic sporozoanosis was based on the presence of protozoan cysts interpreted as megaloschizonts within the hepatic parenchyma."""	Fatal hemoprotozoal infections in multipleﾊavianﾊspecies in a zoological park	2007	Ferrell et al.	Case 6. Alternative host name: Phoenicoparrus minor
North America	USA	"San Diego, California"	Passeriformes	Psarocolius_decumanus	South America	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
North America	USA	"San Diego, California"	Passeriformes	Cicinnurus_magnificus	Papua New Guinea	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
North America	USA	"San Diego, California"	Passeriformes	Lophorina_superba	Papua New Guinea	Not	Captive	Adult	Naive	Haemoproteus	SIAMEX01	-1.61	North America	Caused_death	"Pg. 307: ""On histologic examination, the liver parenchyma in all 11 cases was multifocally disrupted by variably sized poorly demarcated regions of hemorrhage and necrosis, which ranged from 0.5ﾐ2 mm in diameter, typically with intralesional protozoal organisms (megaloschizonts; Fig. 2)."" Pg. 309: ""This report describes 11 cases of protozoal infection in passerine birds that caused sudden death with little or no premonitory signs."""	"Hepatic hemorrhage, hemocoelom, and sudden death due to Haemoproteus infection in passerine birds: eleven cases"	2008	Donovan et al.	
