Lineage_Name	parasiteGenus	order	family	species	continent
ABSUP01	Haemoproteus	Passeriformes	Sylviidae	Abroscopus_superciliaris	Asia
ABUCUJ01	Haemoproteus	Galliformes	Cracidae	Pipile_cujubi	South America
ACAED01	Haemoproteus	Passeriformes	Nectariniidae	Nectarinia_sperata	Asia
ACAED01	Haemoproteus	Passeriformes	Cisticolidae	Prinia_inornata	Asia
ACAED01	Haemoproteus	Passeriformes	Sylviidae	Acrocephalus_aedon	Asia
ACAED02	Haemoproteus	Passeriformes	Sylviidae	Acrocephalus_aedon	Asia
ACAED02	Haemoproteus	Passeriformes	Sylviidae	Acrocephalus_aedon	Asia
ACAED02	Haemoproteus	Passeriformes	Aegithalidae	Aegithalos_caudatus	Asia
ACAED02	Haemoproteus	Passeriformes	Fringillidae	Emberiza_elegans	Asia
ACAED02	Haemoproteus	Passeriformes	Fringillidae	Emberiza_pusilla	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_major	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_major	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_major	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_major	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_major	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_montanus	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_montanus	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_venustulus	Asia
ACAED02	Haemoproteus	Passeriformes	Paridae	Parus_venustulus	Asia
ACAED02	Haemoproteus	Passeriformes	Sylviidae	Phylloscopus_proregulus	Asia
ACAED02	Haemoproteus	Passeriformes	Sylviidae	Phylloscopus_proregulus	Asia
ACAED02	Haemoproteus	Passeriformes	Sylviidae	Phylloscopus_proregulus	Asia
ACAED02	Haemoproteus	Passeriformes	Sittidae	Sitta_europaea	Asia
ACAED02	Haemoproteus	Passeriformes	Sittidae	Sitta_europaea	Asia
ACAED02	Haemoproteus	Passeriformes	Sittidae	Sitta_europaea	Asia
ACAED02	Haemoproteus	Passeriformes	Turdidae	Tarsiger_cyanurus	Asia
ACAFLA01	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
ACAFLA02	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
ACAFLA02	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
ACAFLA02	Leucocytozoon	Passeriformes	Fringillidae	Loxia_leucoptera	North America
ACAFLA02	Leucocytozoon	Passeriformes	Paridae	Parus_hudsonicus	North America
ACAFLA03	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
ACAFLA03	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
ACAFLA03	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
ACAFLA03	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
ACAFLA03	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
ACAFLA03	Leucocytozoon	Passeriformes	Fringillidae	Carduelis_flammea	North America
