Band	ANSP	Plate.number	Taxon_order	Taxon_family	Taxon	Season	Date	Age	Sex	Gel.band.haem	Gel.band.Leuco	Lineage.N..O.	Parasite.1	Parasite.2	Parasite.3	Parasite.4	Lineage.Name.1	Lineage.Name.2	Lineage.Name.3	Lineage.Name.4	Migration	Breeding	lineage.per.host	infxn	haempresence	plaspresence	leucopresence	mixedinfxn	
264172698	30239	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172699	30240	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
256185405	30241	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172901	30242	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172902	30243	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	U	Male	positive		Old	Haemoproteus	Plasmodium			MAFUS02	PADOM11			2	0	2	1	1	1	0	1	
270030472	30244	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	5-May-15	ASY	Male												2	0	0	0	0	0	0	0	
270030473	30245	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	5-May-15	SY	Male												2	0	0	0	0	0	0	0	
264172903	30246	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Female	positive		Old	Plasmodium	Plasmodium			GEOTRI09	TUMIG03			2	0	2	1	0	1	0	1	
264172865	30247	Rushton_1	Passeriformes	Cardinalidae	Cardinalis cardinalis	spring	5-May-15	AHY	Female	positive		Old	Haemoproteus	Plasmodium			SIAMEX01	PADOM11			0	0	2	1	1	1	0	1	
264172905	30248	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	5-May-15	SY	Male	positive		Old	Plasmodium				TUMIG03				3	0	1	1	0	1	0	0	
255185199	30249	Rushton_1	Passeriformes	Troglodytidae	Thryothorus ludovicianus	spring	5-May-15	ASY	Male												0	0	0	0	0	0	0	0	
256185888	30250	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	5-May-15	SY	Male	positive		New	Plasmodium				TUMIG03				3	0	1	1	0	1	0	0	
264172908	30251	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172910	30252	Rushton_1	Passeriformes	Icteridae	Icterus galbula	spring	5-May-15	ASY	Male	positive		Old	Haemoproteus				SIAMEX01				3	0	1	1	1	0	0	0	
270030475	30253	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	5-May-15	AHY	Female												2	0	0	0	0	0	0	0	
258120208	30254	Rushton_1	Passeriformes	Turdidae	Catharus fuscescens	spring	5-May-15	SY	Male												3	0	0	0	0	0	0	0	
264172913	30255	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Female	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172914	30256	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172915	30257	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Female	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172916	30258	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Male	positive		New	Plasmodium				PADOM11				2	0	1	1	0	1	0	0	
264172917	30259	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Female	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172918	30260	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				NA	NA	1	1	1	0	0	0	
264172919	30261	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Female	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
270030468	30262	Rushton_1	Passeriformes	Troglodytidae	Troglodytes aedon	spring	5-May-15	SY	Male												2	0	0	0	0	0	0	0	
266057473	30263	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	5-May-15	ASY	Female	positive		New	Plasmodium				CYACRI06				2	0	1	1	0	1	0	0	
264172922	30264	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Female	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172923	30265	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Male												2	0	0	0	0	0	0	0	
264172925	30266	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172924	30267	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Male	positive	positive	Old	Haemoproteus	Leucocytozoon			MAFUS02	CATUST25			2	0	2	1	1	0	1	1	
191034802	30268	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	5-May-15	AHY	Male												2	0	0	0	0	0	0	0	
264172926	30269	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Female	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
270030476	30270	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	5-May-15	ASY	Male	positive	positive	New	Plasmodium 	Leucocytozoon			GEOTRI01	CB1			2	0	2	1	0	0	1	1	
270030477	30271	Rushton_1	Passeriformes	Passerellidae	Spizella pusilla	spring	5-May-15	SY	Female	positive		New	Plasmodium				PADOM11				1	0	1	1	0	1	0	0	
264172927	30272	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172928	30273	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	5-May-15	ASY	Male												2	0	0	0	0	0	0	0	
270030493	30274	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	12-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
256185289	30275	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	ASY	Male	positive		New	Haemoproteus	Plasmodium			MAFUS02	PADOM11			2	0	2	1	1	1	0	1	
264172951	30276	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	AHY	Female	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
270030494	30277	Rushton_1	Passeriformes	Troglodytidae	Troglodytes aedon	spring	12-May-15	ASY	Male												2	0	0	0	0	0	0	0	
264172952	30278	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Male	positive		New	Plasmodium				PADOM11				2	0	1	1	0	1	0	0	
85295988	30279	Rushton_1	Passeriformes	Turdidae	Turdus migratorius	spring	12-May-15	SY	Female	positive		Old	Haemoproteus				TUMIG06				1	0	1	1	1	0	0	0	
270030440	30280	Rushton_1	Passeriformes	Passerellidae	Spizella pusilla	spring	12-May-15	AHY	Male												1	0	0	0	0	0	0	0	
258120212	30282	Rushton_1	Passeriformes	Turdidae	Catharus fuscescens	spring	12-May-15	ASY	Female		positive	Old	Leucocytozoon	Leucocytozoon			CATMIN05	CATFUS15			3	0	2	1	0	0	1	1	
264172954	30283	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Male		positive	Old	Leucocytozoon	Haemoproteus			CATMIN05	MAFUS02			2	0	2	1	1	0	1	1	
270030495	30284	Rushton_1	Passeriformes	Troglodytidae	Troglodytes aedon	spring	12-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
270030496	30285	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	12-May-15	ASY	Male	positive		Old	Plasmodium				SEIAUR01				2	0	1	1	0	1	0	0	
258120213	30286	Rushton_1	Passeriformes	Passerellidae	Zonotrichia albicollis	spring	12-May-15	SY	Female		positive	Old	Leucocytozoon				CB1				1	0	1	1	0	0	1	0	
267038653	30287	Rushton_1	Passeriformes	Parulidae	Setophaga magnolia	spring	12-May-15	ASY	Female	positive	positive	Old	Leucocytozoon	Plasmodium			CNEORN01	WW3			3	0	2	1	0	1	1	1	
264172955	30288	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Female												2	0	0	0	0	0	0	0	
264172884	30289	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
256185900	30290	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Female												2	0	0	0	0	0	0	0	
92038297	30291	Rushton_1	Passeriformes	Parulidae	Geothlypis trichas	spring	12-May-15	ASY	Female												2	0	0	0	0	0	0	0	
256185791	30292	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	12-May-15	U	Female		positive	New	Leucocytozoon	Leucocytozoon			CATUST09	HYLMUS06			3	0	2	1	0	0	1	1	
258120215	30293	Rushton_1	Passeriformes	Turdidae	Catharus ustulatus	spring	12-May-15	ASY	Male		positive	Old	Leucocytozoon	Leucocytozoon			CATMIN05	HYLMUS02			3	0	2	1	0	0	1	1	
264172956	30294	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
264172942	30295	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	ASY	U												2	0	0	0	0	0	0	0	
264172871	30296	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Male		positive										NA	NA	0	0	0	0	0	0	
264172957	30297	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Female	positive		Old	Haemoproteus	Plasmodium			MAFUS02	TUMIG03			2	0	2	1	1	1	0	1	
264172958	30298	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Female												2	0	0	0	0	0	0	0	
264172959	30299	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Male												2	0	0	0	0	0	0	0	
264172960	30300	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	12-May-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
256185508	30301	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	26-May-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	0	1	1	1	0	0	0	
217102954	30302	Rushton_1	Passeriformes	Parulidae	Seiurus aurocapilla	spring	26-May-15	ASY	Male												3	0	0	0	0	0	0	0	
256185459	30303	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	26-May-15	ASY	Male												3	0	0	0	0	0	0	0	
264172591	30304	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	26-May-15	SY	Male												3	0	0	0	0	0	0	0	
255102572	30305	Rushton_1	Passeriformes	Turdidae	Catharus fuscescens	spring	26-May-15	ASY	Female												3	0	0	0	0	0	0	0	
